"Date","Event","Favourite Wins","Underdog Wins"
"Oct 15 2022","UFC Fight Night: Grasso vs. Araujo | Links: 
                    UFC Fight Night: Grasso vs. Araujo                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1044)",9,2
"Oct 29 2022","UFC Fight Night: Kattar vs. Allen | Links: 
                    UFC Fight Night: Kattar vs. Allen                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1081)",6,5
"Nov 05 2022","UFC Fight Night: Rodriguez vs. Lemos | Links: 
                    UFC Fight Night: Rodriguez vs. Lemos                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1083)",10,1
"Nov 19 2022","UFC Fight Night: Nzechukwu vs. Cutelaba | Links: 
                    UFC Fight Night: Nzechukwu vs. Cutelaba                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1090)",10,1
"Dec 03 2022","UFC Fight Night: Thompson vs. Holland | Links: 
                    UFC Fight Night: Thompson vs. Holland                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1093)",7,6
"Dec 10 2022","UFC 282 | Links: 
                    UFC 282                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1079)",9,1
"Dec 17 2022","UFC Fight Night: Cannonier vs. Strickland | Links: 
                    UFC Fight Night: Cannonier vs. Strickland                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1078)",9,4
"Feb 18 2023","UFC Fight Night: Andrade vs. Blanchfield | Links: 
                    UFC Fight Night: Andrade vs. Blanchfield                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1157)",8,3
"Feb 25 2023","UFC Fight Night: Muniz vs. Allen | Links: 
                    UFC Fight Night: Muniz vs. Allen                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1158)",7,3
"Mar 04 2023","UFC 285 | Links: 
                    UFC 285                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1155)",13,1
"Mar 11 2023","UFC Fight Night: Yan vs. Dvalishvili | Links: 
                    UFC Fight Night: Yan vs. Dvalishvili                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1166)",8,5
"Mar 18 2023","UFC 286 | Links: 
                    UFC 286                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1156)",8,5
"Mar 25 2023","UFC Fight Night: Vera vs. Sandhagen | Links: 
                    UFC Fight Night: Vera vs. Sandhagen                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1175)",5,5
"Apr 08 2023","UFC 287 | Links: 
                    UFC 287                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1172)",8,4
"Apr 15 2023","UFC Fight Night: Holloway vs. Allen | Links: 
                    UFC Fight Night: Holloway vs. Allen                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1178)",8,6
"Apr 22 2023","UFC Fight Night: Pavlovich vs. Blaydes | Links: 
                    UFC Fight Night: Pavlovich vs. Blaydes                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1211)",3,7
"May 06 2023","UFC 288 | Links: 
                    UFC 288                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1209)",6,5
"May 20 2023","UFC Fight Night: Hill vs. Dern | Links: 
                    UFC Fight Night: Hill vs. Dern                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1247)",11,1
"Jun 03 2023","UFC Fight Night: Kara-France vs. Albazi | Links: 
                    UFC Fight Night: Kara-France vs. Albazi                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1248)",9,4
"Jun 10 2023","UFC 289 | Links: 
                    UFC 289                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1237)",5,5
"Jun 17 2023","UFC Fight Night: Vettori vs. Cannonier | Links: 
                    UFC Fight Night: Vettori vs. Cannonier                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1255)",6,5
"Jun 24 2023","UFC Fight Night: Emmett vs. Topuria | Links: 
                    UFC Fight Night: Emmett vs. Topuria                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1256)",6,6
"Jul 01 2023","UFC Fight Night: Strickland vs. Magomedov | Links: 
                    UFC Fight Night: Strickland vs. Magomedov                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1257)",6,6
"Jul 08 2023","UFC 290 | Links: 
                    UFC 290                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1258)",7,6
"Jul 15 2023","UFC Fight Night: Holm vs. Bueno Silva | Links: 
                    UFC Fight Night: Holm vs. Bueno Silva                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1293)",12,1
"Jul 22 2023","UFC Fight Night: Aspinall vs. Tybura | Links: 
                    UFC Fight Night: Aspinall vs. Tybura                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1279)",11,4
"Jul 29 2023","UFC 291 | Links: 
                    UFC 291                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1266)",7,4
"Aug 12 2023","UFC Fight Night: Luque vs. Dos Anjos | Links: 
                    UFC Fight Night: Luque vs. Dos Anjos                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1299)",8,4
